Start: Thu Mar 16 16:30:27 PDT 2017

Parameter Sweeps

Number of parameters swept: 5

Table of parameters swept 
public	double	sexuality	0.1	0.2	0.3	0.4	0.5	

Parameter values for the class class khMateChoice.Environment
females  1000
males  1000
similar  true
scaleK  10.0
exponentN  1.0
maxD  50.0
findLocalDate  false
dateSearchRadius  10
replacement  false
oneDate  false
sexuality  0.1
gridWidth  50
gridHeight  50
bounded  false
uniqueLocation  false
movement  true
aggregate  true
coordinate  false
hyperAggCoor  false
collisions  false
randomMovement  1.0
searchRadius  1
paramSweeps  true
simLength  201
simNumber  10
fileDataName  results.txt
folderDataName  data
scriptName  script.txt
precision  %.3f
simulationTitle  Parameter Sweeps
dataSamplingInterval  10

Sweep Number:	1
sexuality	0.1
Step	Reps	pairs	FA	MA	Corr
1.000	10.000	928.200	5.469	5.483	0.584
10.000	10.000	999.200	5.475	5.489	0.585
20.000	10.000	1000.000	5.476	5.488	0.582
30.000	10.000	1000.000	5.476	5.488	0.582
40.000	10.000	1000.000	5.476	5.488	0.582
50.000	10.000	1000.000	5.476	5.488	0.582
60.000	10.000	1000.000	5.476	5.488	0.582
70.000	10.000	1000.000	5.476	5.488	0.582
80.000	10.000	1000.000	5.476	5.488	0.582
90.000	10.000	1000.000	5.476	5.488	0.582
100.000	10.000	1000.000	5.476	5.488	0.582
110.000	10.000	1000.000	5.476	5.488	0.582
120.000	10.000	1000.000	5.476	5.488	0.582
130.000	10.000	1000.000	5.476	5.488	0.582
140.000	10.000	1000.000	5.476	5.488	0.582
150.000	10.000	1000.000	5.476	5.488	0.582
160.000	10.000	1000.000	5.476	5.488	0.582
170.000	10.000	1000.000	5.476	5.488	0.582
180.000	10.000	1000.000	5.476	5.488	0.582
190.000	10.000	1000.000	5.476	5.488	0.582
200.000	10.000	1000.000	5.476	5.488	0.582

Step	Reps	pairs	FA	MA	Corr
1.000	10.000	4.163	0.025	0.021	0.009
10.000	10.000	0.200	0.027	0.023	0.008
20.000	10.000	0.000	0.028	0.024	0.009
30.000	10.000	0.000	0.028	0.024	0.009
40.000	10.000	0.000	0.028	0.024	0.009
50.000	10.000	0.000	0.028	0.024	0.009
60.000	10.000	0.000	0.028	0.024	0.009
70.000	10.000	0.000	0.028	0.024	0.009
80.000	10.000	0.000	0.028	0.024	0.009
90.000	10.000	0.000	0.028	0.024	0.009
100.000	10.000	0.000	0.028	0.024	0.009
110.000	10.000	0.000	0.028	0.024	0.009
120.000	10.000	0.000	0.028	0.024	0.009
130.000	10.000	0.000	0.028	0.024	0.009
140.000	10.000	0.000	0.028	0.024	0.009
150.000	10.000	0.000	0.028	0.024	0.009
160.000	10.000	0.000	0.028	0.024	0.009
170.000	10.000	0.000	0.028	0.024	0.009
180.000	10.000	0.000	0.028	0.024	0.009
190.000	10.000	0.000	0.028	0.024	0.009
200.000	10.000	0.000	0.028	0.024	0.009

Sweep Number:	2
sexuality	0.2
Step	Reps	pairs	FA	MA	Corr
1.000	10.000	934.700	5.465	5.519	0.573
10.000	10.000	998.900	5.474	5.509	0.570
20.000	10.000	999.600	5.475	5.509	0.567
30.000	10.000	1000.000	5.475	5.508	0.565
40.000	10.000	1000.000	5.475	5.508	0.565
50.000	10.000	1000.000	5.475	5.508	0.565
60.000	10.000	1000.000	5.475	5.508	0.565
70.000	10.000	1000.000	5.475	5.508	0.565
80.000	10.000	1000.000	5.475	5.508	0.565
90.000	10.000	1000.000	5.475	5.508	0.565
100.000	10.000	1000.000	5.475	5.508	0.565
110.000	10.000	1000.000	5.475	5.508	0.565
120.000	10.000	1000.000	5.475	5.508	0.565
130.000	10.000	1000.000	5.475	5.508	0.565
140.000	10.000	1000.000	5.475	5.508	0.565
150.000	10.000	1000.000	5.475	5.508	0.565
160.000	10.000	1000.000	5.475	5.508	0.565
170.000	10.000	1000.000	5.475	5.508	0.565
180.000	10.000	1000.000	5.475	5.508	0.565
190.000	10.000	1000.000	5.475	5.508	0.565
200.000	10.000	1000.000	5.475	5.508	0.565

Step	Reps	pairs	FA	MA	Corr
1.000	10.000	2.226	0.034	0.029	0.004
10.000	10.000	0.233	0.034	0.030	0.005
20.000	10.000	0.163	0.034	0.031	0.005
30.000	10.000	0.000	0.034	0.031	0.005
40.000	10.000	0.000	0.034	0.031	0.005
50.000	10.000	0.000	0.034	0.031	0.005
60.000	10.000	0.000	0.034	0.031	0.005
70.000	10.000	0.000	0.034	0.031	0.005
80.000	10.000	0.000	0.034	0.031	0.005
90.000	10.000	0.000	0.034	0.031	0.005
100.000	10.000	0.000	0.034	0.031	0.005
110.000	10.000	0.000	0.034	0.031	0.005
120.000	10.000	0.000	0.034	0.031	0.005
130.000	10.000	0.000	0.034	0.031	0.005
140.000	10.000	0.000	0.034	0.031	0.005
150.000	10.000	0.000	0.034	0.031	0.005
160.000	10.000	0.000	0.034	0.031	0.005
170.000	10.000	0.000	0.034	0.031	0.005
180.000	10.000	0.000	0.034	0.031	0.005
190.000	10.000	0.000	0.034	0.031	0.005
200.000	10.000	0.000	0.034	0.031	0.005

Sweep Number:	3
sexuality	0.3
Step	Reps	pairs	FA	MA	Corr
1.000	10.000	933.500	5.514	5.522	0.580
10.000	10.000	999.300	5.513	5.509	0.579
20.000	10.000	999.800	5.515	5.508	0.578
30.000	10.000	1000.000	5.515	5.508	0.577
40.000	10.000	1000.000	5.515	5.508	0.577
50.000	10.000	1000.000	5.515	5.508	0.577
60.000	10.000	1000.000	5.515	5.508	0.577
70.000	10.000	1000.000	5.515	5.508	0.577
80.000	10.000	1000.000	5.515	5.508	0.577
90.000	10.000	1000.000	5.515	5.508	0.577
100.000	10.000	1000.000	5.515	5.508	0.577
110.000	10.000	1000.000	5.515	5.508	0.577
120.000	10.000	1000.000	5.515	5.508	0.577
